name,v_nom,x,y,wkt_srid_4326,frequency,ref,operator,osm_name,voltage,typ
1,220.0,9.52257596986,52.3604090558,SRID=4326;POINT(9.52257596986262 52.3604090557601),50,,TenneT;EON_Netz,Hannover/West,220000;110000,substation
2,380.0,9.11321007473,52.5438533224,SRID=4326;POINT(9.11321007472722 52.5438533223737),50,,TenneT,Umspannwerk Kraftwerk Robert Frank,220000,substation
3,380.0,9.38974509625,52.026313066,SRID=4326;POINT(9.38974509624863 52.0263130660355),50,,TenneT,UW Grohnde 380 kV / 110 kV,380000;110000,substation
4,380.0,9.12526570295,52.5382640871,SRID=4326;POINT(9.12526570294975 52.5382640870749),50,,TenneT TSO GmbH,Landesbergen,380000;220000,substation
5,380.0,10.3662749375,52.2846467462,SRID=4326;POINT(10.3662749375017 52.2846467462009),50,,TenneT,Wahle,380000;220000,substation
6,220.0,9.91814864614,52.3799963126,SRID=4326;POINT(9.91814864613865 52.3799963125719),50,,TenneT_TSO,TenneT TSO GmbH - Betriebszentrum Lehrte,220000;110000,substation
7,380.0,9.91717971972,52.2781686139,SRID=4326;POINT(9.91717971972185 52.2781686139394),50,,TenneT,Algermissen,380000;110000,substation
8,380.0,10.4149923382,53.412606883,SRID=4326;POINT(10.4149923381504 53.4126068830249),,,50Hertz,Krümmel,380000;110000,substation
9,380.0,10.3787705904,53.2197927686,SRID=4326;POINT(10.3787705903765 53.2197927685849),50,LUEN,EON_Netz,Lüneburg,380000;110000,substation
10,380.0,12.9416466019,52.5621144046,SRID=4326;POINT(12.9416466019288 52.5621144045848),,Wu,50Hertz Transmission GmbH;E.ON edis AG,Wustermark,380000;220000;110000,substation
11,220.0,13.2061029868,52.6571362773,SRID=4326;POINT(13.2061029867985 52.6571362773373),50,,50Hertz Transmission,Hennigsdorf,220000,substation
12,380.0,13.7096697058,52.5397952581,SRID=4326;POINT(13.7096697058228 52.5397952580643),50,NHG TCC,50Hertz Transmission GmbH,Neuenhagen,380000;220000;110000,substation
13,380.0,11.3704262487,48.291492233,SRID=4326;POINT(11.3704262486892 48.2914922329548),,OBA,TenneT TSO GmbH;E.ON Netz GmbH,Umspannwerk Oberbachern,380000;220000;110000,substation
14,220.0,11.8132328973,48.2212664655,SRID=4326;POINT(11.8132328973194 48.2212664654998),,NFI,"TenneT TSO GmbH, E.ON Netz GmbH",Umspannwerk Neufinsing,220000;110000,substation
15,380.0,11.8681562939,48.2068029185,SRID=4326;POINT(11.8681562938884 48.2068029185353),50,OH,TenneT TSO GmbH,Umspannwerk Ottenhofen,380000;220000,substation
16,380.0,10.7610403786,52.3677293804,SRID=4326;POINT(10.7610403785613 52.3677293804096),50,,EON_Netz,Umspannwerk Hattorf,380000,substation
17,380.0,13.4947633747,52.5897644436,SRID=4326;POINT(13.4947633747219 52.5897644435618),50,MOW,50Hertz;Stromnetz Berlin,Umspannwerk Malchow,380000;110000,substation
18,380.0,13.6834769667,54.1390906407,SRID=4326;POINT(13.6834769666546 54.1390906406635),,,50Hertz,Umspannwerk Lubmin,380000;220000,substation
19,220.0,11.2939727001,48.052042772,SRID=4326;POINT(11.2939727001158 48.0520427719624),,OBR,"TenneT TSO GmbH, E.ON Netz GmbH",Umspannwerk Oberbrunn,220000;110000,substation
20,380.0,9.98460982001,53.741128776,SRID=4326;POINT(9.98460982000897 53.7411287759659),50,,50Hertz Transmission,Umspannwerk Hamburg-Nord,380000;220000;110000,substation
21,380.0,10.1575015165,53.5551316686,SRID=4326;POINT(10.1575015165126 53.5551316685834),50,,50Hertz Transmission;Stromnetz Hamburg GmbH,Umspannwerk Hamburg/Ost,380000;110000,substation
22,380.0,9.20210420095,53.89515741,SRID=4326;POINT(9.20210420095253 53.8951574100045),50,,50Hertz Transmission,Umspannwerk Kernkraftwerk Brunsbüttel,380000;220000;110000,substation
23,220.0,9.98853660866,53.7662776686,SRID=4326;POINT(9.98853660865951 53.766277668594),50,,TenneT;Schleswig-Holstein Netz AG,Hamburg Nord,220000;110000,substation
